;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;;
168;28;3;50;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;17,04273982;1,341312859;-14,56983324;40;;;
169;28;3;50;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;22,86405654;1,224007595;-14,74403029;37;;;
170;28;3;50;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;16,70444376;1,279168816;-16,10005235;38;;;
171;28;3;50;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;20,06093478;1,062271312;-20,39757252;34;;;
172;28;3;100;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;7,938511469;0,589546342;-15,11633833;41;;;
173;28;3;100;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;11,74644898;0,600685183;-21,4265266;36;;;
174;28;3;100;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;1,770359822;0,128785215;-28,4702175;37;;;
175;28;3;100;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;8,109539764;0,411210706;-29,84365254;33;;;
176;28;4;50;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;14,53727204;1,648085161;-8,19398436;25;;;
177;28;4;50;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;14,15919092;1,08378552;-15,82271368;21;;;
178;28;4;50;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;13,93001756;1,552937528;-7,787648664;25;;;
179;28;4;50;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;11,73626492;0,880695232;-22,86579202;20;;;
180;28;4;100;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;11,32582336;1,109284254;-8,116136903;28;;;
181;28;4;100;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;8,245474509;0,588099234;-19,79114245;25;;;
182;28;4;100;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;6,422709886;0,564566215;-13,9790192;25;;;
183;28;4;100;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;5,180888022;0,34567495;-26,25495854;23;;;
184;28;5;50;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;12,3709139;1,359715443;-8,594659695;23;;;
185;28;5;50;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;11,6484834;0,837221014;-18,27355369;20;;;
186;28;5;50;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;10,8515307;1,206709603;-12,47205053;22;;;
187;28;5;50;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;9,875124489;0,712071098;-19,58353339;18;;;
188;28;5;100;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;11,67847497;1,231652714;-8,116140017;20;;;
189;28;5;100;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;10,89862046;0,815516679;-16,56697588;17;;;
190;28;5;100;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;8,811719856;0,879155198;-12,92699288;19;;;
191;28;5;100;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;8,202536325;0,596934251;-26,34750395;16;;;
192;21;3;50;2;3;3;6;0,02;0,05;AAPL;in_sample_3_1x;1,241249672;0,122151304;-18,89055929;20;;;
193;21;3;50;2;3;3;6;0,02;0,1;AAPL;in_sample_3_1x;-0,346218111;-0,027103717;-15,36894514;18;;;
194;21;3;50;2;3;3;6;0,05;0,05;AAPL;in_sample_3_1x;-0,463861422;-0,040437197;-28,94681565;19;;;
195;21;3;50;2;3;3;6;0,05;0,1;AAPL;in_sample_3_1x;-1,331125285;-0,09431976;-27,60895855;15;;;
196;21;3;100;2;3;3;6;0,02;0,05;AAPL;in_sample_3_1x;0,481733319;0,054765287;-13,57623931;18;;;
197;21;3;100;2;3;3;6;0,02;0,1;AAPL;in_sample_3_1x;2,424028258;0,198781741;-19,62888645;17;;;
198;21;3;100;2;3;3;6;0,05;0,05;AAPL;in_sample_3_1x;1,605571155;0,154002923;-22,34383385;18;;;
199;21;3;100;2;3;3;6;0,05;0,1;AAPL;in_sample_3_1x;1,883711003;0,139877912;-28,41248234;15;;;
200;21;4;50;2;3;3;6;0,02;0,05;AAPL;in_sample_3_1x;-1,778755841;-0,23392606;-19,56232683;13;;;
201;21;4;50;2;3;3;6;0,02;0,1;AAPL;in_sample_3_1x;-3,338150639;-0,378540498;-24,64490379;11;;;
202;21;4;50;2;3;3;6;0,05;0,05;AAPL;in_sample_3_1x;-6,578685528;-0,941740807;-33,89512033;11;;;
203;21;4;50;2;3;3;6;0,05;0,1;AAPL;in_sample_3_1x;-8,350526572;-1,138436467;-41,33631362;10;;;
204;21;4;100;2;3;3;6;0,02;0,05;AAPL;in_sample_3_1x;2,300296473;0,273903479;-14,67077518;13;;;
205;21;4;100;2;3;3;6;0,02;0,1;AAPL;in_sample_3_1x;2,197460477;0,208860044;-19,62886769;11;;;
206;21;4;100;2;3;3;6;0,05;0,05;AAPL;in_sample_3_1x;-0,436392004;-0,049511337;-22,97343866;13;;;
207;21;4;100;2;3;3;6;0,05;0,1;AAPL;in_sample_3_1x;-0,364851075;-0,034549392;-24,06968015;10;;;
208;21;5;50;2;3;3;6;0,02;0,05;AAPL;in_sample_3_1x;0,232174426;0,038880782;-13,38755825;7;;;
209;21;5;50;2;3;3;6;0,02;0,1;AAPL;in_sample_3_1x;-0,322158971;-0,035070532;-14,30394838;7;;;
210;21;5;50;2;3;3;6;0,05;0,05;AAPL;in_sample_3_1x;-1,912921729;-0,34853242;-17,6933467;6;;;
211;21;5;50;2;3;3;6;0,05;0,1;AAPL;in_sample_3_1x;-1,726806929;-0,192000195;-21,24194352;6;;;
212;21;5;100;2;3;3;6;0,02;0,05;AAPL;in_sample_3_1x;3,902212824;0,521265016;-13,38756091;11;;;
213;21;5;100;2;3;3;6;0,02;0,1;AAPL;in_sample_3_1x;2,51729149;0,246444452;-19,62887163;10;;;
214;21;5;100;2;3;3;6;0,05;0,05;AAPL;in_sample_3_1x;1,099751547;0,146460439;-18,04339766;11;;;
