Date;Open;High;Low;Close;Adj Close;Volume
2001-07-18;31,625;32,150001525878906;31,524999618530273;32,040000915527344;17,93627166748047;24389000
2001-07-19;32,25;32,349998474121094;31,424999237060547;31,75;17,773921966552734;15832600
2001-07-20;31,59000015258789;31,600000381469727;31,139999389648438;31,424999237060547;17,59199333190918;9335200
2001-07-23;31,575000762939453;31,690000534057617;31,155000686645508;31,174999237060547;17,45203399658203;5177800
2001-07-24;31,299999237060547;31,434999465942383;30,850000381469727;31,0049991607666;17,35686492919922;9385800
2001-07-25;31,149999618530273;31,264999389648438;30,75;31,200000762939453;17,46603012084961;11382600
2001-07-26;31,25;31,649999618530273;31,155000686645508;31,55500030517578;17,664756774902344;7400400
2001-07-27;31,55500030517578;32,0;31,55500030517578;31,75;17,773921966552734;5730200
2001-07-30;31,600000381469727;31,815000534057617;31,5;31,774999618530273;17,787918090820312;4768800
2001-07-31;31,774999618530273;31,959999084472656;31,670000076293945;31,809999465942383;17,807514190673828;7290000
2001-08-01;31,864999771118164;31,864999771118164;31,325000762939453;31,5;17,633968353271484;6042800
2001-08-02;31,649999618530273;31,81999969482422;31,5;31,729999542236328;17,762723922729492;7742400
2001-08-03;31,729999542236328;31,75;31,350000381469727;31,674999237060547;17,7319393157959;6278800
2001-08-06;31,725000381469727;31,834999084472656;31,315000534057617;31,389999389648438;17,5723934173584;6109000
2001-08-07;31,399999618530273;31,639999389648438;31,309999465942383;31,524999618530273;17,647964477539062;5450600
2001-08-08;31,450000762939453;31,899999618530273;31,28499984741211;31,405000686645508;17,580791473388672;7435800
2001-08-09;31,549999237060547;31,700000762939453;31,389999389648438;31,649999618530273;17,717939376831055;8195400
2001-08-10;31,700000762939453;31,700000762939453;31,28499984741211;31,450000762939453;17,605981826782227;8591800
2001-08-13;31,350000381469727;31,674999237060547;31,25;31,645000457763672;17,715147018432617;6421400
2001-08-14;31,75;31,81999969482422;31,25;31,280000686645508;17,510822296142578;7272600
2001-08-15;31,25;31,645000457763672;31,25;31,25;17,494016647338867;8329200
2001-08-16;31,299999237060547;31,75;31,1299991607666;31,690000534057617;17,740333557128906;9298400
2001-08-17;31,674999237060547;31,799999237060547;31,30500030517578;31,344999313354492;17,547208786010742;10905600
2001-08-20;31,424999237060547;31,84000015258789;31,424999237060547;31,78499984741211;17,793519973754883;7904800
2001-08-21;31,8700008392334;32,5;31,75;31,7549991607666;17,776729583740234;18047800
2001-08-22;32,04999923706055;32,349998474121094;31,475000381469727;32,32500076293945;18,09581184387207;11869800
2001-08-23;32,32500076293945;32,77000045776367;32,154998779296875;32,5;18,193775177001953;10438600
2001-08-24;32,40999984741211;32,4900016784668;31,559999465942383;31,6200008392334;17,701147079467773;12021400
2001-08-27;31,674999237060547;31,7450008392334;31,360000610351562;31,375;17,56399154663086;7536000
2001-08-28;31,375;31,475000381469727;30,924999237060547;30,93000030517578;17,314878463745117;9047400
2001-08-29;30,899999618530273;30,975000381469727;30,024999618530273;30,024999618530273;16,80825424194336;12449600
2001-08-30;29,950000762939453;30,475000381469727;29,8799991607666;30,114999771118164;16,858640670776367;13391200
2001-08-31;30,299999237060547;31,075000762939453;30,174999237060547;30,75;17,214109420776367;8776800
2001-09-04;30,375;31,395000457763672;30,264999389648438;30,954999923706055;17,32887077331543;13949200
2001-09-05;30,625;31,049999237060547;30,434999465942383;30,645000457763672;17,31192970275879;15066600
2001-09-06;30,450000762939453;30,575000762939453;29,375;29,889999389648438;16,885421752929688;17680400
2001-09-07;29,274999618530273;29,809999465942383;28,940000534057617;29,295000076293945;16,549293518066406;16347200
2001-09-10;29,075000762939453;29,325000762939453;28,65999984741211;28,825000762939453;16,283775329589844;16255600
2001-09-17;27,0;28,049999237060547;26,975000381469727;27,174999237060547;15,351651191711426;30120400
2001-09-18;27,174999237060547;27,575000762939453;26,860000610351562;27,53499984741211;15,555031776428223;17734400
2001-09-19;27,59000015258789;28,350000381469727;27,100000381469727;27,5;15,535263061523438;28698800
2001-09-20;27,5;27,575000762939453;26,5;26,815000534057617;15,148296356201172;21862400
2001-09-21;25,125;26,6299991607666;25,125;25,5;14,40541934967041;27687200
2001-09-24;26,440000534057617;27,239999771118164;26,209999084472656;26,674999237060547;15,069201469421387;17264800
2001-09-25;26,700000762939453;27,809999465942383;26,649999618530273;27,549999237060547;15,563508033752441;14381000
2001-09-26;27,924999237060547;27,975000381469727;27,25;27,524999618530273;15,549381256103516;11122400
2001-09-27;27,799999237060547;28,584999084472656;27,399999618530273;28,440000534057617;16,066282272338867;13723800
2001-09-28;28,875;29,299999237060547;28,739999771118164;29,200000762939453;16,495624542236328;17620400
2001-10-01;29,225000381469727;29,56999969482422;28,950000762939453;29,475000381469727;16,650968551635742;10449000
2001-10-02;29,475000381469727;29,799999237060547;29,024999618530273;29,739999771118164;16,80068016052246;13301000
2001-10-03;29,475000381469727;30,149999618530273;29,399999618530273;29,9950008392334;16,944738388061523;16663200
2001-10-04;29,9950008392334;30,114999771118164;29,200000762939453;29,44499969482422;16,634031295776367;16576400
2001-10-05;29,44499969482422;29,549999237060547;27,875;28,065000534057617;15,854440689086914;20000400
2001-10-08;28,06999969482422;28,06999969482422;26,93000030517578;27,125;15,323417663574219;15811200
