,indice,indice_original_upper_pivot,valor_rsi,resist_slope,resist_intercept,inicio_janela,fim_janela
171,382.0,491.0,85.47810597021473,-0.06008743006822371,114.98103413371257,450.0,669.0
172,383.0,491.0,85.47810597021473,-0.060111731378662464,114.992966077138,458.0,677.0
173,384.0,491.0,85.47810597021473,-0.060090657164547076,114.98261863800734,476.0,695.0
174,385.0,491.0,85.47810597021473,-0.06008809150115088,114.98135889727982,486.0,705.0
175,386.0,491.0,85.47810597021473,-0.06010029097653594,114.98734883969388,491.0,710.0
176,387.0,493.0,83.54035451619404,-0.043267565641549786,104.87126437747808,492.0,711.0
177,388.0,601.0,78.86464160359395,-0.02307422111838425,92.73224849574288,502.0,721.0
178,402.0,730.0,81.77157978996048,-0.0006962859691959692,82.27986854747354,623.0,842.0
179,403.0,730.0,81.77157978996048,-0.02068203930928307,96.86946848573713,629.0,848.0
180,404.0,730.0,81.77157978996048,-0.00924541508313514,88.52073280064914,636.0,855.0
181,405.0,730.0,81.77157978996048,-0.00924908466286869,88.52341159385463,638.0,857.0
182,406.0,730.0,81.77157978996048,-0.009241847776269747,88.5181286666374,650.0,869.0
183,407.0,730.0,81.77157978996048,-0.009250128690045847,88.52417373369396,654.0,873.0
184,408.0,730.0,81.77157978996048,-0.00924412663490336,88.51979223343994,661.0,880.0
185,409.0,730.0,81.77157978996048,-0.009250575398549898,88.5244998309019,669.0,888.0
186,410.0,730.0,81.77157978996048,-0.009228572297816904,88.50843756736683,670.0,889.0
187,411.0,849.0,80.67028863833474,-0.00926017994286239,88.53218140982491,684.0,903.0
188,412.0,849.0,80.67028863833474,-0.009268376189598087,88.53914002330352,693.0,912.0
189,413.0,849.0,80.67028863833474,-0.009271520129176666,88.54180922800573,696.0,915.0
190,414.0,849.0,80.67028863833474,-0.009263267849353812,88.53480304243612,706.0,925.0
191,415.0,849.0,80.67028863833474,-0.00925994278636637,88.5319800639598,712.0,931.0
192,416.0,849.0,80.67028863833474,-0.009267227379474753,88.53816468350881,719.0,938.0
193,417.0,849.0,80.67028863833474,-0.009279668947147691,88.54872757446313,722.0,941.0
194,418.0,849.0,80.67028863833474,-0.03605159433854679,111.27809223176097,730.0,949.0
195,419.0,849.0,80.67028863833474,-0.05576093873661766,128.01132562572315,734.0,953.0
196,420.0,849.0,80.67028863833474,-0.1068372257409956,171.37509329244,742.0,961.0
197,421.0,849.0,80.67028863833474,-0.12255055833474522,184.71571266453344,745.0,964.0
198,422.0,849.0,80.67028863833474,-0.1492829187579403,207.41148666382605,750.0,969.0
199,423.0,849.0,80.67028863833474,-0.19209016967047496,243.75484268856798,758.0,977.0
200,424.0,849.0,80.67028863833474,-0.15620278443524854,213.28645262386075,768.0,987.0
201,425.0,849.0,80.67028863833474,-0.15621551806456968,213.2972634751544,771.0,990.0
202,426.0,849.0,80.67028863833474,-0.15621321404149724,213.2953073595659,782.0,1001.0
203,427.0,1011.0,76.20266475077895,-0.027592274795932802,104.09845456946701,794.0,1013.0
204,428.0,1014.0,77.18738704851904,-0.021127278179016898,98.61044712204217,800.0,1019.0
205,429.0,1014.0,77.18738704851904,-0.02112060259972984,98.6036780846451,804.0,1023.0
206,430.0,849.0,80.67028863833474,-0.021082339405567547,98.56919479366158,816.0,1035.0
207,431.0,849.0,80.67028863833474,-0.02109795435007496,98.58245188154838,827.0,1046.0
208,432.0,849.0,80.67028863833474,-0.021082976384132132,98.56973558846292,838.0,1057.0
209,433.0,849.0,80.67028863833474,-0.021107043178817897,98.59016829715114,843.0,1062.0
210,434.0,849.0,80.67028863833474,-0.021092154414246944,98.57752773603039,849.0,1068.0
211,440.0,1014.0,77.18738704851904,-0.013385195506872734,90.759975292488,904.0,1123.0
212,441.0,1014.0,77.18738704851904,-0.08515820547713687,163.53780740233583,913.0,1132.0
213,458.0,1142.0,90.011062049153,-0.0408342292093357,136.64375180621437,1040.0,1259.0
214,459.0,1142.0,90.011062049153,-0.04100596552998579,136.83987468439676,1047.0,1266.0
215,460.0,1142.0,90.011062049153,-0.040999347963848756,136.8323174238683,1058.0,1277.0
216,461.0,1142.0,90.011062049153,-0.041008615095887935,136.84290048865702,1063.0,1282.0
217,462.0,1142.0,90.011062049153,-0.04099344782467798,136.82557946493526,1079.0,1298.0
218,463.0,1142.0,90.011062049153,-0.04099139204121391,136.82323176021927,1095.0,1314.0
219,464.0,1142.0,90.011062049153,-0.04100992575286918,136.8443972589296,1105.0,1324.0
220,465.0,1144.0,89.92903387775235,-0.09243458589005674,195.67420013597726,1122.0,1341.0
221,466.0,1142.0,90.011062049153,-0.04100956312004416,136.84398313224344,1130.0,1349.0
222,467.0,1142.0,90.011062049153,-0.0410131020855113,136.8480246308069,1136.0,1355.0
223,468.0,1142.0,90.011062049153,-0.04098994974584889,136.82158465891243,1142.0,1361.0
224,495.0,261.0,86.73602332936582,-0.08471162203835832,108.84575668137734,127.0,426.0
225,496.0,261.0,86.73602332936582,-0.06818911215770683,104.5333816025273,141.0,440.0
226,497.0,261.0,86.73602332936582,-0.06818178234025199,104.53146852017159,158.0,457.0
227,498.0,261.0,86.73602332936582,-0.04350797581308093,98.09160501657995,164.0,463.0
228,499.0,261.0,86.73602332936582,-0.04352462431662759,98.09595027600562,179.0,478.0
229,500.0,261.0,86.73602332936582,-0.02587270255150507,93.48879869530865,191.0,490.0
230,501.0,261.0,86.73602332936582,-0.005463238075723692,88.1619284671297,207.0,506.0
231,502.0,261.0,86.73602332936582,-0.005466404860526997,88.16275499796336,226.0,525.0
232,503.0,261.0,86.73602332936582,-0.005452286287276342,88.15907005034495,227.0,526.0
233,504.0,261.0,86.73602332936582,-0.005463541764971091,88.16200773002328,235.0,534.0
234,505.0,261.0,86.73602332936582,-0.005468674110136797,88.16334727211152,236.0,535.0
235,506.0,491.0,85.47810597021473,-0.005484774437169315,88.17113021886486,242.0,541.0
236,507.0,491.0,85.47810597021473,-0.005473088503904624,88.1653924256319,251.0,550.0
237,508.0,491.0,85.47810597021473,-0.00549408418090299,88.1757013030381,261.0,560.0
238,518.0,491.0,85.47810597021473,-0.05108728119342051,110.5619610361842,354.0,653.0
239,519.0,491.0,85.47810597021473,-0.060109949248691424,114.99209105132222,361.0,660.0
240,520.0,491.0,85.47810597021473,-0.060102716342243574,114.98853969425632,362.0,661.0
241,521.0,491.0,85.47810597021473,-0.06012211396058706,114.99806392486298,370.0,669.0
242,522.0,491.0,85.47810597021473,-0.06010934211168084,114.99179294705002,371.0,670.0
243,523.0,491.0,85.47810597021473,-0.0601088348096352,114.99154386174561,379.0,678.0
244,524.0,491.0,85.47810597021473,-0.06011143439661384,114.99282025895212,396.0,695.0
245,525.0,491.0,85.47810597021473,-0.060108918957884346,114.99158517853594,397.0,696.0
246,526.0,491.0,85.47810597021473,-0.0601184074125196,114.99624400976185,403.0,702.0
247,527.0,491.0,85.47810597021473,-0.06010009067926884,114.98725049373573,406.0,705.0
248,528.0,491.0,85.47810597021473,-0.06012189814311266,114.99795795848304,412.0,711.0
249,529.0,491.0,85.47810597021473,-0.05635416333639191,113.14800016838316,422.0,721.0
250,530.0,491.0,85.47810597021473,-0.019019884454290613,94.81686923727142,427.0,726.0
251,531.0,491.0,85.47810597021473,-0.019024857412601563,94.8193109598021,430.0,729.0
252,532.0,491.0,85.47810597021473,-0.01549444619283302,93.08587905089574,445.0,744.0
253,533.0,491.0,85.47810597021473,-0.015492071332492016,93.0847129944683,458.0,757.0
254,534.0,491.0,85.47810597021473,-0.01550724106027565,93.09216133081007,471.0,770.0
255,535.0,491.0,85.47810597021473,-0.015499620072771598,93.08841942594559,482.0,781.0
256,536.0,491.0,85.47810597021473,-0.01549865045223096,93.08794334226013,491.0,790.0
257,548.0,849.0,80.67028863833474,-0.009260578963809944,88.53252017860939,578.0,877.0
258,549.0,849.0,80.67028863833474,-0.009273486463563598,88.54347864590024,581.0,880.0
259,550.0,849.0,80.67028863833474,-0.009271756468783345,88.5420098803318,589.0,888.0
260,551.0,849.0,80.67028863833474,-0.00926077908147968,88.53269007851098,601.0,900.0
261,552.0,849.0,80.67028863833474,-0.009259528257518395,88.53162812896785,604.0,903.0
262,553.0,849.0,80.67028863833474,-0.009273997724084408,88.5439127060824,613.0,912.0
263,554.0,849.0,80.67028863833474,-0.009259338133412539,88.53146671360199,636.0,935.0
264,555.0,849.0,80.67028863833474,-0.009257258593463456,88.52970118418521,639.0,938.0
265,556.0,849.0,80.67028863833474,-0.009255346649777141,88.52807794399553,654.0,953.0
266,557.0,849.0,80.67028863833474,-0.009255975766041783,88.52861206370422,661.0,960.0
