,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
13,42,7,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.45355711415581146,959,-31.425143927741843
14,42,9,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.5757806866356561,959,-25.78666879344395
15,42,11,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.4802471091593644,959,-17.034579914319465
0,14,5,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.3673989259623299,917,1.9065669858862577
1,14,7,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.24468656335717442,511,13.45664301725489
2,14,9,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.2055289189438264,696,35.97521804471555
3,14,11,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.1632568478187103,499,102.3114511662734
4,21,5,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.1825215679466372,671,-5.489869192099661
5,21,7,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.24658401788958717,696,-9.49432140819016
6,21,9,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.29570582497028297,696,-19.934799115718818
7,21,11,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.29570582497028297,696,-19.934799115718818
8,35,5,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.1753486031395327,348,65.08801119440375
9,35,7,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.24347237903299912,554,9.064886804364349
10,35,9,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.4885241799103134,917,-29.99285725283164
11,35,11,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.419943137755844,917,-25.597756194131136
12,42,5,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.22374358042667963,917,0.07585506304668854
13,42,7,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.6131810535840923,917,-54.25243535469131
14,42,9,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.6276880307225504,917,-49.23886541131561
15,42,11,50,100,200,300,2,3,4,6,-0.02,0.06,6,2018-01-01,2023-12-31,-0.5539109709248657,917,-41.43640326101364
