;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;
99;2;28;2;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;24,13046347;1,320680609;-10,75636479;39;;28-2-100-2-4-in_sample_3_1x
100;2;28;3;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;13,03607624;0,845214054;-13,19107272;46;;28-2-50-3-3-in_sample_3_1x
101;2;28;3;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;13,59801318;0,860774089;-12,83361951;43;;28-2-50-3-4-in_sample_3_1x
102;2;28;3;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;25,01243542;1,500916459;-6,08823984;38;;28-2-100-3-3-in_sample_3_1x
103;2;28;3;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;21,74160756;1,34299696;-7,918850521;35;;28-2-100-3-4-in_sample_3_1x
104;2;28;4;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;15,28955781;1,003951117;-12,83361951;34;;28-2-50-4-3-in_sample_3_1x
105;2;28;4;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;5,757433786;0,420470579;-13,70415858;34;;28-2-50-4-4-in_sample_3_1x
106;2;28;4;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;15,23624687;1,185741584;-8,743413649;27;;28-2-100-4-3-in_sample_3_1x
107;2;28;4;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;17,05785197;1,222956138;-9,469479981;27;;28-2-100-4-4-in_sample_3_1x
108;2;35;2;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;18,79779873;1,014413863;-17,72791004;53;;35-2-50-2-3-in_sample_3_1x
109;2;35;2;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;16,81853797;0,898897316;-17,62359806;53;;35-2-50-2-4-in_sample_3_1x
110;2;35;2;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;14,25122569;0,854147089;-10,76873145;42;;35-2-100-2-3-in_sample_3_1x
111;2;35;2;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;11,40795781;0,620104303;-16,76978177;43;;35-2-100-2-4-in_sample_3_1x
112;2;35;3;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;21,64341071;1,322481166;-7,890571837;42;;35-2-50-3-3-in_sample_3_1x
